image,n,fixation_cross.started_mean,fixation_cross.started_raw,fixation_cross.started_std,fixation_cross.stopped_mean,fixation_cross.stopped_raw,fixation_cross.stopped_std,order
stimuli\primes_neg\image_1.jpg,1.0,27.060577392578125,27.060577392578125,0.0,28.579957962036133,28.579957962036133,0.0,1.0
stimuli\primes_neg\image_2.jpg,1.0,14.109126091003418,14.109126091003418,0.0,15.623239517211914,15.623239517211914,0.0,0.0
stimuli\primes_neg\image_3.jpg,1.0,40.18775939941406,40.18775939941406,0.0,41.71476745605469,41.71476745605469,0.0,2.0

extraInfo
participant,00
group,1
order,"B,A"
date,2020_Apr_03_1835
expName,priming
psychopyVersion,2020.1.3
frameRate,59.23289840473054
