image,n,fixation_cross.started_mean,fixation_cross.started_raw,fixation_cross.started_std,fixation_cross.stopped_mean,fixation_cross.stopped_raw,fixation_cross.stopped_std,order
stimuli\primes_pos\image_1.jpg,1.0,24.51592445373535,24.51592445373535,0.0,26.03289222717285,26.03289222717285,0.0,1.0
stimuli\primes_pos\image_2.jpg,1.0,37.58946228027344,37.58946228027344,0.0,39.1094970703125,39.1094970703125,0.0,2.0
stimuli\primes_pos\image_3.jpg,1.0,11.599985122680664,11.599985122680664,0.0,13.118794441223145,13.118794441223145,0.0,0.0

extraInfo
participant,00
group,1
order,"A,B"
date,2020_Apr_03_1839
expName,priming
psychopyVersion,2020.1.3
frameRate,60.60242441922552
