image,n,fixation_cross_2.started_mean,fixation_cross_2.started_raw,fixation_cross_2.started_std,fixation_cross_2.stopped_mean,fixation_cross_2.stopped_raw,fixation_cross_2.stopped_std,order
D:\Documents\MSc\sleepysleepy\programming_group\priming-session\stimuli\primes_neg\image_1.jpg,1.0,55.09178924560547,55.09178924560547,0.0,56.619590759277344,56.619590759277344,0.0,0.0
D:\Documents\MSc\sleepysleepy\programming_group\priming-session\stimuli\primes_neg\image_2.jpg,1.0,81.06105041503906,81.06105041503906,0.0,82.56634521484375,82.56634521484375,0.0,2.0
D:\Documents\MSc\sleepysleepy\programming_group\priming-session\stimuli\primes_neg\image_3.jpg,1.0,68.10346984863281,68.10346984863281,0.0,69.62664794921875,69.62664794921875,0.0,1.0

extraInfo
participant,00
condition,A
date,2020_Apr_03_1740
expName,priming
psychopyVersion,2020.1.3
frameRate,59.602747687052144
