image,pos_trials.thisRepN,pos_trials.thisTrialN,pos_trials.thisN,pos_trials.thisIndex,neg_trials.thisRepN,neg_trials.thisTrialN,neg_trials.thisN,neg_trials.thisIndex,intro_text.started,intro_text.stopped,fixation_cross.started,fixation_cross.stopped,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,fixation_cross_2.started,fixation_cross_2.stopped,text_2.started,text_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,participant,condition,date,expName,psychopyVersion,frameRate,
D:\Documents\MSc\sleepysleepy\programming_group\priming-session\stimuli\primes_neg\image_1.jpg,0,0,0,0,,,,,11.402320499997586,None,12.162287799990736,13.67035869997926,,,,,,,,,,,,,,,00,BA,2020_Apr_03_1744,priming,2020.1.3,60.0249463759844,
D:\Documents\MSc\sleepysleepy\programming_group\priming-session\stimuli\primes_neg\image_2.jpg,0,1,1,1,,,,,,,25.101967100054026,26.620395999983884,,,,,,,,,,,,,,,00,BA,2020_Apr_03_1744,priming,2020.1.3,60.0249463759844,
D:\Documents\MSc\sleepysleepy\programming_group\priming-session\stimuli\primes_neg\image_3.jpg,0,2,2,2,,,,,,,38.17452470003627,39.69591140002012,,,,,,,,,,,,,,,00,BA,2020_Apr_03_1744,priming,2020.1.3,60.0249463759844,
,,,,,,,,,,,,,50.99557389994152,None,k,3.2618565999437124,50.99557389994152,None,,,,,,,,,00,BA,2020_Apr_03_1744,priming,2020.1.3,60.0249463759844,
D:\Documents\MSc\sleepysleepy\programming_group\priming-session\stimuli\primes_pos\image_1.jpg,,,,,0,0,0,0,,,,,,,,,,,54.52025649999268,56.03338869998697,,,,,,,00,BA,2020_Apr_03_1744,priming,2020.1.3,60.0249463759844,
D:\Documents\MSc\sleepysleepy\programming_group\priming-session\stimuli\primes_pos\image_2.jpg,,,,,0,1,1,1,,,,,,,,,,,67.53218239999842,69.04000999999698,,,,,,,00,BA,2020_Apr_03_1744,priming,2020.1.3,60.0249463759844,
D:\Documents\MSc\sleepysleepy\programming_group\priming-session\stimuli\primes_pos\image_3.jpg,,,,,0,2,2,2,,,,,,,,,,,80.47283390001394,81.99286700005177,,,,,,,00,BA,2020_Apr_03_1744,priming,2020.1.3,60.0249463759844,
,,,,,,,,,,,,,,,,,,,,,93.31622269994114,None,return,5.030446199933067,93.31622269994114,None,00,BA,2020_Apr_03_1744,priming,2020.1.3,60.0249463759844,
