image,n,fixation_cross.started_mean,fixation_cross.started_raw,fixation_cross.started_std,fixation_cross.stopped_mean,fixation_cross.stopped_raw,fixation_cross.stopped_std,order
D:\Documents\MSc\sleepysleepy\programming_group\priming-session\stimuli\primes_pos\image_1.jpg,1.0,27.1234073638916,27.1234073638916,0.0,28.627294540405273,28.627294540405273,0.0,1.0
D:\Documents\MSc\sleepysleepy\programming_group\priming-session\stimuli\primes_pos\image_2.jpg,1.0,14.139752388000488,14.139752388000488,0.0,15.650710105895996,15.650710105895996,0.0,0.0
D:\Documents\MSc\sleepysleepy\programming_group\priming-session\stimuli\primes_pos\image_3.jpg,1.0,40.14147186279297,40.14147186279297,0.0,41.65974044799805,41.65974044799805,0.0,2.0

extraInfo
participant,00
condition,A
date,2020_Apr_03_1740
expName,priming
psychopyVersion,2020.1.3
frameRate,59.602747687052144
