image,n,fixation_cross.started_mean,fixation_cross.started_raw,fixation_cross.started_std,fixation_cross.stopped_mean,fixation_cross.stopped_raw,fixation_cross.stopped_std,order
D:\Documents\MSc\sleepysleepy\programming_group\priming-session\stimuli\primes_neg\image_1.jpg,1.0,12.162287712097168,12.162287712097168,0.0,13.670358657836914,13.670358657836914,0.0,0.0
D:\Documents\MSc\sleepysleepy\programming_group\priming-session\stimuli\primes_neg\image_2.jpg,1.0,25.101966857910156,25.101966857910156,0.0,26.62039566040039,26.62039566040039,0.0,1.0
D:\Documents\MSc\sleepysleepy\programming_group\priming-session\stimuli\primes_neg\image_3.jpg,1.0,38.17452621459961,38.17452621459961,0.0,39.6959114074707,39.6959114074707,0.0,2.0

extraInfo
participant,00
condition,BA
date,2020_Apr_03_1744
expName,priming
psychopyVersion,2020.1.3
frameRate,60.0249463759844
