image,n,fixation_cross.started_mean,fixation_cross.started_raw,fixation_cross.started_std,fixation_cross.stopped_mean,fixation_cross.stopped_raw,fixation_cross.stopped_std,order
stimuli\primes_neg\image_1.jpg,1.0,39.5341796875,39.5341796875,0.0,41.059234619140625,41.059234619140625,0.0,2.0
stimuli\primes_neg\image_2.jpg,1.0,26.49199867248535,26.49199867248535,0.0,28.00727653503418,28.00727653503418,0.0,1.0
stimuli\primes_neg\image_3.jpg,1.0,13.55168342590332,13.55168342590332,0.0,15.064600944519043,15.064600944519043,0.0,0.0

extraInfo
participant,00
group,1
order,"B,A"
date,2020_Apr_03_1840
expName,priming
psychopyVersion,2020.1.3
frameRate,60.37972811964015
