image,n,fixation_cross_2.started_mean,fixation_cross_2.started_raw,fixation_cross_2.started_std,fixation_cross_2.stopped_mean,fixation_cross_2.stopped_raw,fixation_cross_2.stopped_std,order
stimuli\primes_pos\image_1.jpg,1.0,66.88290405273438,66.88290405273438,0.0,68.40430450439453,68.40430450439453,0.0,1.0
stimuli\primes_pos\image_2.jpg,1.0,53.8873291015625,53.8873291015625,0.0,55.392364501953125,55.392364501953125,0.0,0.0
stimuli\primes_pos\image_3.jpg,1.0,79.88483428955078,79.88483428955078,0.0,81.39701843261719,81.39701843261719,0.0,2.0

extraInfo
participant,00
group,1
order,"B,A"
date,2020_Apr_03_1840
expName,priming
psychopyVersion,2020.1.3
frameRate,60.37972811964015
