image,n,fixation_cross_2.started_mean,fixation_cross_2.started_raw,fixation_cross_2.started_std,fixation_cross_2.stopped_mean,fixation_cross_2.stopped_raw,fixation_cross_2.stopped_std,order
D:\Documents\MSc\sleepysleepy\programming_group\priming-session\stimuli\primes_pos\image_1.jpg,1.0,54.52025604248047,54.52025604248047,0.0,56.033390045166016,56.033390045166016,0.0,0.0
D:\Documents\MSc\sleepysleepy\programming_group\priming-session\stimuli\primes_pos\image_2.jpg,1.0,67.53218078613281,67.53218078613281,0.0,69.04000854492188,69.04000854492188,0.0,1.0
D:\Documents\MSc\sleepysleepy\programming_group\priming-session\stimuli\primes_pos\image_3.jpg,1.0,80.47283172607422,80.47283172607422,0.0,81.99286651611328,81.99286651611328,0.0,2.0

extraInfo
participant,00
condition,BA
date,2020_Apr_03_1744
expName,priming
psychopyVersion,2020.1.3
frameRate,60.0249463759844
